date,platform,region,region_name,source_name,source_url,app_name,app_id,developer,category,is_rpg,release_date,url,first_seen_date
2026-07-30,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,撐住吧！領主大人！,com.buffstudio.holdonlord,"Buff Studio Co.,Ltd.",策略,True,,https://play.google.com/store/apps/details?id=com.buffstudio.holdonlord,2026-07-28
2026-07-30,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,桃園結義：放置三國志 RPG,com.codetiger.threekingdom,코드타이거,角色扮演,True,,https://play.google.com/store/apps/details?id=com.codetiger.threekingdom,2026-07-28
2026-07-30,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,Storypick,com.com2us.storypick.android.google.global.normal.storypick12,Day7,冒險,True,,https://play.google.com/store/apps/details?id=com.com2us.storypick.android.google.global.normal.storypick12,2026-07-28
2026-07-30,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,ARES: THE IRON VANGUARD,com.com2usholdings.agwiv.android.google.global.normal,Com2uS Holdings,角色扮演,True,,https://play.google.com/store/apps/details?id=com.com2usholdings.agwiv.android.google.global.normal,2026-07-28
2026-07-30,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,Crash Cat : Zombie Survivor,com.cookapps.catsurvivor,CookApps,角色扮演,True,,https://play.google.com/store/apps/details?id=com.cookapps.catsurvivor,2026-07-28
2026-07-30,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,星際亡命徒：肉鴿塔防,com.cookapps.towerroguedefense,CookApps,策略,True,,https://play.google.com/store/apps/details?id=com.cookapps.towerroguedefense,2026-07-28
2026-07-30,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,MAJO - 末日策略 RPG,com.darkwind.majo,DarkWind Ltd.,角色扮演,True,,https://play.google.com/store/apps/details?id=com.darkwind.majo,2026-07-28
2026-07-30,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,王權：星途,com.devolver.reignsbeyond,DevolverDigital,,False,,https://play.google.com/store/apps/details?id=com.devolver.reignsbeyond,2026-07-28
2026-07-30,android,tw,台湾,Google Play游戏首页预注册,https://play.google.com/store/games?gl=TW&hl=zh_TW,Pokémon GO,com.nianticlabs.pokemongo,"Scopely Explore, Inc.",冒險,True,,https://play.google.com/store/apps/details?id=com.nianticlabs.pokemongo,2026-07-28
2026-07-30,android,tw,台湾,Google Play游戏首页预注册,https://play.google.com/store/games?gl=TW&hl=zh_TW,Royal Kingdom,com.dreamgames.royalkingdom,"Dream Games, Ltd.",冒險,True,,https://play.google.com/store/apps/details?id=com.dreamgames.royalkingdom,2026-07-28
2026-07-30,android,tw,台湾,Google Play游戏首页预注册,https://play.google.com/store/games?gl=TW&hl=zh_TW,EA SPORTS FC™ 足球 Mobile 2026,com.ea.gp.fifamobile,ELECTRONIC ARTS,,True,,https://play.google.com/store/apps/details?id=com.ea.gp.fifamobile,2026-07-30
2026-07-30,android,tw,台湾,Google Play游戏首页预注册,https://play.google.com/store/games?gl=TW&hl=zh_TW,Tile Explorer - Triple Match,com.oakever.tiletrip,Oakever Games,冒險,True,,https://play.google.com/store/apps/details?id=com.oakever.tiletrip,2026-07-30
2026-07-30,android,tw,台湾,Google Play游戏首页预注册,https://play.google.com/store/games?gl=TW&hl=zh_TW,神魔之塔,com.madhead.tos.zh,Mad Head Limited,角色扮演,True,,https://play.google.com/store/apps/details?id=com.madhead.tos.zh,2026-07-30
2026-07-30,android,tw,台湾,Google Play游戏首页预注册,https://play.google.com/store/games?gl=TW&hl=zh_TW,楓之谷：放置冒險記,com.nexon.ma,NEXON Company,角色扮演,True,,https://play.google.com/store/apps/details?id=com.nexon.ma,2026-07-30
2026-07-30,android,tw,台湾,Google Play游戏首页预注册,https://play.google.com/store/games?gl=TW&hl=zh_TW,點點大作戰,com.funplus.ts.global,FunPlus International AG,冒險,True,,https://play.google.com/store/apps/details?id=com.funplus.ts.global,2026-07-30
2026-07-30,android,tw,台湾,Google Play游戏首页预注册,https://play.google.com/store/games?gl=TW&hl=zh_TW,絕區零 - 週年慶,com.HoYoverse.Nap,COGNOSPHERE PTE. LTD.,角色扮演,True,,https://play.google.com/store/apps/details?id=com.HoYoverse.Nap,2026-07-30
2026-07-30,android,tw,台湾,Google Play游戏首页预注册,https://play.google.com/store/games?gl=TW&hl=zh_TW,Roblox,com.roblox.client,Roblox Corporation,角色扮演,True,,https://play.google.com/store/apps/details?id=com.roblox.client,2026-07-28
2026-07-30,android,tw,台湾,Google Play游戏首页预注册,https://play.google.com/store/games?gl=TW&hl=zh_TW,Garena 傳說對決：冥定王牌版本,com.garena.game.kgtw,Garena Games Online,策略,True,,https://play.google.com/store/apps/details?id=com.garena.game.kgtw,2026-07-30
2026-08-04,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,Storypick,com.com2us.storypick.android.google.global.normal.storypick12,Day7,,False,,https://play.google.com/store/apps/details?id=com.com2us.storypick.android.google.global.normal.storypick12,2026-07-28
2026-08-05,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,Storypick,com.com2us.storypick.android.google.global.normal.storypick12,Day7,,False,,https://play.google.com/store/apps/details?id=com.com2us.storypick.android.google.global.normal.storypick12,2026-07-28
2026-08-06,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,Storypick,com.com2us.storypick.android.google.global.normal.storypick12,Day7,,False,,https://play.google.com/store/apps/details?id=com.com2us.storypick.android.google.global.normal.storypick12,2026-07-28
2026-08-07,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,Storypick,com.com2us.storypick.android.google.global.normal.storypick12,Day7,,False,,https://play.google.com/store/apps/details?id=com.com2us.storypick.android.google.global.normal.storypick12,2026-07-28
2026-08-08,android,tw,台湾,Google Play预注册游戏,https://play.google.com/store/apps/collection/promotion_3000000d51_pre_registration_games?gl=TW&hl=zh_TW,Storypick,com.com2us.storypick.android.google.global.normal.storypick12,Day7,,False,,https://play.google.com/store/apps/details?id=com.com2us.storypick.android.google.global.normal.storypick12,2026-07-28
